,Tweets,class
609,fox news neil cavuto has returned to work after more than a month following what he described as a near deadly battle with covid cavuto says he was in an intensive care unit with covid and pneumonia ,1
281,boston mayor michelle wu announced tuesday the city will lift its proof of vaccination requirements for indoor public places once certain covid case and hospitalization thresholds are met making it the latest to do so as the rate of new infections declines nationwide tkgrrilruq,1
625,about of the nearly million in contributions to campaigns supporting the canadian protests against covid restrictions that blocked major border crossings came from u s donors an ap review found ,1
19, i love my family my kids and my wife more than i love myself so when i would fight i would fight for them the father of seven said pgxpexihro,1
1001,the novel coronavirus contains pshuttle sn sequence proving laboratory origin ,0
263,two senior federal reserve staffers reported a series of financial trades as the central bank was putting in place historic levels of stimulus to prop up the economy at the onset of the covid pandemic in according to reports ,1
571,china is tackling a covid spike with selective lockdowns and other measures that appear to slightly ease its draconian zero tolerance strategy the latest cases are quadruple what the mainland had a week ago ,1
36,convoy groups led by american truckers are making their way toward the dc area to demand an end to all covid mandates and restrictions ,1
150,florida governor desantis scolds students for wearing face masks to prevent covid ,1
182,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen hxsecdadno,1
396,china the last major country to stick with a zero tolerance approach to covid is now actively exploring ways to loosen controls ,1
275,cvs reported more than billion in quarterly profits thanks in part to a rush of customers being vaccinated against covid or tested for the virus kgfhjvmzus,1
1068,us uses terrorism and coronavirus in syria,0
134,hawaii plans to drop the nation s last remaining statewide indoor mask mandate later this month gov david ige d announced tuesday as covid infections have plunged since january but ige cautioned hawaii is ready to institute a new mandate if infection rates surge again ,1
38,china seek for court s approval to kill the over coronavirus patients to avoid further spread of the virus,0
496,a bridge that connects u s with canada reopened after protesters shut down the trade corridor for roughly a week in a fight against covid restrictions ,1
599,the new cdc mask measures are for communities where covid is easing its grip with less of a focus on positive test results and a greater focus on what s happening in hospitals ,1
140,the world health organization said it supports broad and urgent access to covid booster shots after previously opposing wealthy countries administering booster shots as global vaccine supply improves znpyyyqnhb,1
